step,total_score,phi,self_reference_depth,workspace_activation,cross_module_integration,information_density,level_idx,level,phi_raw_nats,phi_instant_nats,phi_causal_nats
71,0.43896152127422455,0.0,0.2155072979305971,0.6142554924221579,0.8028169014084507,0.7496372194798893,2,低意识,0.0,0.0,0.0
72,0.45730510221572773,0.0,0.2151648722238686,0.6185218763568103,0.8028169014084507,0.8666958147860121,3,中等意识,0.0,0.0,0.0
73,0.4698677371987481,0.0,0.21485902388349637,0.622530514118547,0.8028169014084507,0.9455096621109949,3,中等意识,0.0,0.0,0.0
74,0.47509335539754544,0.0,0.2145283784330606,0.6207941895504618,0.8028169014084507,0.9831030767943386,3,中等意识,0.0,0.0,0.0
75,0.45438279094697964,0.0,0.21662005563600048,0.6245814438093229,0.8028169014084507,0.8371940718414985,3,中等意识,0.0,0.0,0.0
76,0.44045086909503467,0.0,0.21827327662010218,0.6228041006474221,0.8028169014084507,0.7444800890655978,2,低意识,0.0,0.0,0.0
77,0.457721560365573,0.0,0.2175507685502359,0.6210623043487593,0.8028169014084507,0.8629037700272254,3,中等意识,0.0,0.0,0.0
78,0.46927930487193814,0.0,0.21684699886774902,0.61935534397607,0.8028169014084507,0.9431697068098948,3,中等意识,0.0,0.0,0.0
79,0.4746150783693634,0.0,0.21616110978368402,0.6176825228108342,0.8028169014084507,0.9818864771251306,3,中等意识,0.0,0.0,0.0
80,0.4523095922964325,0.0,0.21701944895766637,0.6160431580689032,0.8028169014084507,0.8342246040628564,3,中等意识,0.0,0.0,0.0
81,0.4397571100795185,0.0018854835340006745,0.2179817697122828,0.6195627135350452,0.8028169014084507,0.7414230817657506,2,低意识,0.003770971536667389,0.0,0.007541943073334778
82,0.4572734400206504,0.0022618244686070333,0.2173530341726295,0.6178857449786301,0.8028169014084507,0.8606456519437105,3,中等意识,0.004523656651340774,0.0,0.009047313302681548
83,0.4691648272161195,0.0029660387314604554,0.2167321221153628,0.6162423157933432,0.8028169014084507,0.9417669977988201,3,中等意识,0.005932094858603992,0.0,0.011864189717207985
84,0.4758382733158455,0.00357304765559179,0.21628867729582296,0.6197578881049964,0.8028169014084507,0.9811487869339566,3,中等意识,0.007146125722028995,0.0,0.01429225144405799
85,0.45386994612916676,0.004882613331791341,0.2173761658915003,0.6180770160571822,0.8028169014084507,0.833301840831948,3,中等意识,0.009765304265410557,0.0,0.019530608530821114
86,0.44116769354927265,0.007748247519435636,0.21832209432644611,0.620375508299003,0.8028169014084507,0.7395182057508918,2,低意识,0.015496805162489913,0.0,0.030993610324979826
87,0.45871512376451734,0.007987787490204415,0.21766565108651445,0.6186822838473085,0.8028169014084507,0.8592347308234097,3,中等意识,0.015975914765934074,0.0,0.03195182953186815
88,0.47066072798305547,0.008623203809663797,0.21701948586094028,0.6170229238846481,0.8028169014084507,0.9408870986655443,3,中等意识,0.01724683511731087,0.0,0.03449367023462174
89,0.4763145093864183,0.00917043010529005,0.2163836457237697,0.6153967511212408,0.8028169014084507,0.9806829480626897,3,中等意识,0.01834137437233685,0.0,0.0366827487446737
90,0.45530907221900685,0.01176054301173579,0.2173079550783101,0.6138031018131018,0.8028169014084507,0.8372222987073359,3,中等意识,0.023522170516856386,0.00556912898168932,0.04147521205202345
91,0.4420925934482468,0.01923815984165581,0.217994548292445,0.6122413254911254,0.8028169014084507,0.737816656329524,2,低意识,0.03848106752012238,0.024690220781541816,0.05227191425870295
92,0.45989923694400786,0.020307979925832286,0.21710457969240454,0.6107107846955886,0.8028169014084507,0.8579719253550734,3,中等意识,0.040621544764521955,0.028403481527765728,0.05283960800127818
